idolId,users,tweets,favs,retweets
72,390,1058,1539,147
144,129,360,230,24
31,257,644,677,32
164,0,0,0,0
143,0,0,0,0
29,152,298,101,3
52,177,319,267,1
92,3225,9439,9602,265
127,0,0,0,0
54,0,0,0,0
104,812,2625,2797,225
76,0,0,0,0
65,393,973,1652,126
51,220,481,525,343
13,0,0,0,0
20,1129,4300,3768,138
99,123,244,30,4
27,0,0,0,0
184,0,0,0,0
200,1254,2622,4315,430
6,1923,9144,23283,680
47,130,269,191,9
150,0,0,0,0
116,355,983,845,30
113,393,1234,1860,259
16,127,291,168,11
155,197,440,424,12
151,229,534,566,130
153,0,0,0,0
124,1402,4651,12192,1402
21,94,153,114,4
146,0,0,0,0
53,203,386,235,10
26,716,1957,1036,426
24,503,1144,1202,267
122,1061,2814,3900,427
12,0,0,0,0
9,430,1475,3522,1047
66,0,0,0,0
158,0,0,0,0
75,0,0,0,0
74,0,0,0,0
73,0,0,0,0
98,0,0,0,0
115,120,299,114,3
187,132,320,132,24
186,0,0,0,0
149,0,0,0,0
83,344,910,754,100
138,0,0,0,0
190,126,283,611,304
70,168,331,327,29
132,2266,7071,6797,534
48,270,824,994,81
55,1582,6970,8841,1348
58,762,1838,1408,42
56,303,796,785,14
68,1247,4152,5118,108
1001,0,0,0,0
102,146,260,167,58
57,879,3353,6856,130
50,0,0,0,0
154,0,0,0,0
33,0,0,0,0
11,0,0,0,0
188,487,1461,1082,43
95,50,130,60,40
34,1869,5646,4327,227
140,286,627,325,22
196,500,1330,3675,168
49,217,524,441,18
89,0,0,0,0
59,0,0,0,0
15,0,0,0,0
80,0,0,0,0
105,0,0,0,0
198,0,0,0,0
141,155,354,75,4
162,1803,4163,6281,981
5,0,0,0,0
120,0,0,0,0
110,96,194,59,3
67,0,0,0,0
1,0,0,0,0
195,246,649,471,124
63,0,0,0,0
114,0,0,0,0
1002,0,0,0,0
168,0,0,0,0
169,0,0,0,0
185,181,412,520,17
38,222,451,321,27
205,3077,8157,3921,478
19,0,0,0,0
103,131,439,183,7
170,390,1004,2413,809
175,188,424,79,19
97,0,0,0,0
71,202,358,109,13
133,0,0,0,0
96,1719,5497,6072,1413
135,0,0,0,0
78,0,0,0,0
88,0,0,0,0
39,228,573,276,6
204,3854,10262,8716,199
194,250,595,408,29
77,772,2369,4675,1200
173,0,0,0,0
41,0,0,0,0
2,0,0,0,0
17,1114,3233,2405,173
174,0,0,0,0
136,665,2782,5228,551
118,992,3022,3410,108
197,0,0,0,0
191,0,0,0,0
117,227,638,844,49
160,160,307,167,9
85,0,0,0,0
131,0,0,0,0
61,231,548,713,294
165,154,331,292,39
82,384,1043,1621,244
166,79,116,33,3
192,0,0,0,0
64,0,0,0,0
123,0,0,0,0
62,893,3143,3227,418
100,285,691,253,5
1003,0,0,0,0
1004,0,0,0,0
171,0,0,0,0
147,0,0,0,0
40,267,549,130,7
4,724,1926,879,191
119,1312,4650,8647,312
23,0,0,0,0
84,0,0,0,0
35,0,0,0,0
87,438,1007,910,17
93,316,641,137,10
101,0,0,0,0
157,0,0,0,0
159,0,0,0,0
134,0,0,0,0
28,0,0,0,0
176,457,1070,396,107
125,867,2632,3984,489
94,0,0,0,0
30,151,394,151,4
69,1744,7299,11128,990
139,481,1370,898,152
161,0,0,0,0
10,80,106,22,0
145,214,612,1229,28
79,934,2811,3426,305
86,328,909,698,851
3,0,0,0,0
81,0,0,0,0
8,0,0,0,0
32,0,0,0,0
189,1735,6013,24610,2091
181,0,0,0,0
22,0,0,0,0
193,0,0,0,0
60,217,450,334,7
156,427,1061,388,32
7,461,1192,713,20
130,1352,4389,8046,136
37,687,1850,1830,347
126,0,0,0,0
172,0,0,0,0
36,280,581,1153,31
90,2179,6515,4361,265
142,424,1537,3217,276
45,212,464,554,3
14,178,489,235,85
128,0,0,0,0
129,0,0,0,0
25,0,0,0,0
206,0,0,0,0
18,966,3063,2732,324
112,352,754,497,5
163,0,0,0,0
91,1780,5611,9394,570
137,0,0,0,0
167,690,2194,4088,147
121,0,0,0,0
111,877,3520,5035,1049
