idolId,accounts,onlyAccounts,tweets,favs,retweets
72,30,null,50,131,19
144,17,null,23,44,6
31,25,null,37,71,7
164,283,null,460,694,158
143,161,null,232,113,4
29,20,null,30,19,2
52,23,null,30,32,1
92,358,null,704,653,41
127,345,null,533,763,108
54,313,null,547,2176,80
104,86,null,131,216,15
76,205,null,345,217,41
65,30,null,42,79,10
51,23,null,36,55,29
13,283,null,521,991,386
20,187,null,346,523,15
99,16,null,29,5,0
27,887,null,1646,4898,141
184,217,null,293,156,91
200,103,null,181,505,56
6,148,null,281,517,44
47,14,null,25,26,0
150,39,null,54,165,3
116,32,null,60,82,5
113,47,null,70,100,2
16,7,null,14,6,0
155,12,null,17,22,0
151,26,null,38,67,13
153,150,null,257,437,51
124,93,null,141,522,69
21,12,null,17,21,0
146,309,null,435,249,22
53,15,null,20,18,0
26,74,null,132,131,32
24,42,null,79,52,4
122,77,null,130,210,7
12,688,null,1450,1211,90
9,85,null,164,561,199
66,294,null,414,1626,212
158,96,null,140,185,8
75,275,null,565,632,44
74,700,null,1260,2018,854
73,145,null,236,340,36
98,393,null,574,440,141
115,14,null,18,20,0
187,23,null,37,31,3
186,185,null,391,872,97
149,166,null,326,251,20
83,45,null,74,143,5
138,201,null,322,451,8
190,10,null,12,42,25
70,9,null,10,3,0
132,105,null,237,459,34
48,38,null,56,144,14
55,361,null,918,1647,272
58,69,null,124,141,0
56,24,null,42,78,1
68,123,null,238,376,6
1001,249,null,368,603,19
102,6,null,6,15,5
57,26,null,37,128,5
50,598,null,1035,2254,76
154,172,null,295,799,43
33,245,null,414,742,79
11,421,null,736,1491,96
188,34,null,57,111,3
95,6,null,11,9,5
34,146,null,292,346,18
140,28,null,34,29,3
196,50,null,83,445,50
49,21,null,30,47,2
89,763,null,1374,3923,674
59,706,null,1317,2615,139
15,273,null,450,394,25
80,141,null,276,800,223
105,328,null,662,3238,485
198,462,null,673,740,72
141,6,null,7,8,2
162,124,null,188,435,65
5,263,null,564,1191,395
120,222,null,321,133,12
110,13,null,20,19,0
67,343,null,673,981,296
1,283,null,414,331,4
195,31,null,57,93,25
63,321,null,564,1873,138
114,378,null,552,275,21
1002,299,null,404,515,16
168,553,null,1132,15640,3003
169,122,null,184,205,7
185,17,null,24,36,0
38,16,null,20,11,1
205,150,null,210,166,34
19,243,null,451,3989,599
103,12,null,14,10,1
170,46,null,95,336,135
175,17,null,25,11,2
97,502,null,868,1703,130
71,29,null,39,11,0
133,213,null,366,334,2
96,149,null,271,362,119
135,596,null,1136,2790,98
78,427,null,714,4613,412
88,429,null,768,1016,30
39,17,null,32,11,2
204,265,null,431,538,13
194,25,null,45,54,0
77,108,null,184,397,66
173,214,null,409,1912,653
41,179,null,378,2237,175
2,198,null,365,340,31
17,113,null,229,183,1
174,164,null,350,706,13
136,86,null,186,442,69
118,84,null,140,172,9
197,170,null,311,310,61
191,24,null,37,48,5
117,14,null,20,41,0
160,17,null,22,25,0
85,367,null,571,318,34
131,547,null,809,598,37
61,20,null,29,78,43
165,19,null,33,58,10
82,43,null,68,278,86
166,5,null,8,2,0
192,111,null,206,335,87
64,179,null,286,94,2
123,606,null,1114,2730,159
62,57,null,115,280,30
100,27,null,43,32,2
1003,467,null,675,526,35
1004,367,null,481,440,19
171,167,null,266,463,29
147,189,null,292,226,29
40,29,null,45,28,1
4,61,null,112,94,25
119,87,null,156,386,7
23,92,null,137,51,4
84,404,null,898,1030,38
35,426,null,672,1673,60
87,37,null,49,74,0
93,27,null,34,19,1
101,1276,null,2658,3779,272
157,515,null,911,3211,631
159,266,null,459,976,6
134,290,null,663,2056,65
28,420,null,687,957,77
176,17,null,28,16,8
125,80,null,149,346,32
94,92,null,155,285,20
30,24,null,49,31,1
69,114,null,207,476,35
139,33,null,51,45,5
161,219,null,396,2455,296
10,14,null,20,1,0
145,14,null,36,122,0
79,68,null,143,297,36
86,38,null,62,136,120
3,265,null,547,789,10
81,268,null,416,208,17
8,303,null,509,715,267
32,443,null,724,610,20
189,118,null,222,557,59
181,125,null,211,171,29
22,101,null,183,348,9
193,122,null,209,96,1
60,15,null,22,44,0
156,39,null,61,19,2
7,48,null,80,91,5
130,105,null,247,876,6
37,54,null,95,241,57
126,473,null,753,1660,303
172,347,null,575,1128,24
36,29,null,47,147,2
90,189,null,362,321,24
142,44,null,77,295,23
45,18,null,23,43,0
14,23,null,48,60,31
128,89,null,177,420,85
129,155,null,230,72,2
25,255,null,505,5123,237
206,577,null,816,1238,48
18,68,null,111,54,4
112,30,null,39,65,4
163,362,null,578,378,14
91,149,null,284,783,18
137,228,null,517,3356,770
167,56,null,103,274,10
121,115,null,204,618,130
111,111,null,244,499,108
